block_start,price_eur_mwh,volume_start_mw,volume_end_mw,volume_width_mw,accepted,elia_last_accepted_price,elia_last_accepted_volume
2025-01-10 04:00:00,27.44,92.0,93.0,1.0,False,22.19,63.0
2025-01-10 04:00:00,27.55,93.0,94.0,1.0,False,22.19,63.0
2025-01-10 04:00:00,27.66,94.0,95.0,1.0,False,22.19,63.0
2025-01-10 04:00:00,27.77,95.0,96.0,1.0,False,22.19,63.0
2025-01-10 04:00:00,27.88,96.0,99.0,3.0,False,22.19,63.0
2025-01-10 04:00:00,35.0,99.0,100.0,1.0,False,22.19,63.0
2025-01-10 04:00:00,50.0,100.0,101.0,1.0,False,22.19,63.0
2025-01-10 04:00:00,55.56,101.0,102.0,1.0,False,22.19,63.0
2025-01-10 04:00:00,77.78,102.0,104.0,2.0,False,22.19,63.0
2025-01-10 04:00:00,88.89,104.0,106.0,2.0,False,22.19,63.0
2025-01-10 04:00:00,100.0,106.0,107.0,1.0,False,22.19,63.0
2025-01-10 04:00:00,111.12,107.0,109.0,2.0,False,22.19,63.0
2025-01-10 04:00:00,122.23,109.0,111.0,2.0,False,22.19,63.0
2025-01-10 04:00:00,127.78,111.0,112.0,1.0,False,22.19,63.0
2025-01-10 04:00:00,133.34,112.0,113.0,1.0,False,22.19,63.0
2025-01-10 04:00:00,150.0,113.0,116.0,3.0,False,22.19,63.0
2025-01-10 04:00:00,155.56,116.0,119.0,3.0,False,22.19,63.0
